id,nid,did,ord,mod,usn,type,queue,due,ivl,factor,reps,lapses,left,odue,odid,flags,data
1618050252693,1618050158793,1618052797883,0,1619195776,-1,0,0,82,0,2500,0,0,1001,0,0,0,
1618050252695,1618050158793,1618052797883,1,1619195776,-1,0,0,82,0,2500,0,0,1001,0,0,0,
1618050278650,1618050252828,1618052797883,0,1619195776,-1,0,0,83,0,2500,0,0,1001,0,0,0,
1618050278651,1618050252828,1618052797883,1,1619195776,-1,0,0,83,0,2500,0,0,1001,0,0,0,
1618050303098,1618050278669,1618052797883,0,1619195776,-1,0,0,84,0,2500,0,0,1001,0,0,0,
1618050303099,1618050278669,1618052797883,1,1619195776,-1,0,0,84,0,2500,0,0,1001,0,0,0,
1618050332535,1618050303113,1618052797883,0,1619195776,-1,0,0,85,0,2500,0,0,1001,0,0,0,
1618050332536,1618050303113,1618052797883,1,1619195776,-1,0,0,85,0,2500,0,0,1001,0,0,0,
1618050384598,1618050332552,1618052797883,0,1619195776,-1,0,0,86,0,2500,0,0,1001,0,0,0,
1618050384600,1618050332552,1618052797883,1,1619195776,-1,0,0,86,0,2500,0,0,1001,0,0,0,
1618050404758,1618050384617,1618052797883,0,1619195776,-1,0,0,87,0,2500,0,0,1001,0,0,0,
1618050404759,1618050384617,1618052797883,1,1619195776,-1,0,0,87,0,2500,0,0,1001,0,0,0,
1618050426110,1618050404777,1618052797883,0,1619195776,-1,0,0,88,0,2500,0,0,1001,0,0,0,
1618050426111,1618050404777,1618052797883,1,1619195776,-1,0,0,88,0,2500,0,0,1001,0,0,0,
1618050454711,1618050426128,1618052797883,0,1619195776,-1,0,0,89,0,2500,0,0,1001,0,0,0,
1618050454712,1618050426128,1618052797883,1,1619195776,-1,0,0,89,0,2500,0,0,1001,0,0,0,
1618050491480,1618050454729,1618052797883,0,1619195776,-1,0,0,90,0,2500,0,0,1001,0,0,0,
1618050491481,1618050454729,1618052797883,1,1619195776,-1,0,0,90,0,2500,0,0,1001,0,0,0,
1618050513581,1618050491497,1618052797883,0,1619195776,-1,0,0,91,0,2500,0,0,1001,0,0,0,
1618050513582,1618050491497,1618052797883,1,1619195776,-1,0,0,91,0,2500,0,0,1001,0,0,0,
1618050540181,1618050513600,1618052797883,0,1619195776,-1,0,0,92,0,2500,0,0,1001,0,0,0,
1618050540182,1618050513600,1618052797883,1,1619195776,-1,0,0,92,0,2500,0,0,1001,0,0,0,
1618050564217,1618050540198,1618052797883,0,1619195776,-1,0,0,93,0,2500,0,0,1001,0,0,0,
1618050564218,1618050540198,1618052797883,1,1619195776,-1,0,0,93,0,2500,0,0,1001,0,0,0,
1618050586821,1618050564321,1618052797883,0,1619195776,-1,0,0,94,0,2500,0,0,1001,0,0,0,
1618050586822,1618050564321,1618052797883,1,1619195776,-1,0,0,94,0,2500,0,0,1001,0,0,0,
1618050606519,1618050586840,1618052797883,0,1619195776,-1,0,0,95,0,2500,0,0,1001,0,0,0,
1618050606520,1618050586840,1618052797883,1,1619195776,-1,0,0,95,0,2500,0,0,1001,0,0,0,
1618050632894,1618050606539,1618052797883,0,1619195776,-1,0,0,96,0,2500,0,0,1001,0,0,0,
1618050632895,1618050606539,1618052797883,1,1619195776,-1,0,0,96,0,2500,0,0,1001,0,0,0,
1618050654156,1618050632905,1618052797883,0,1619195776,-1,0,0,97,0,2500,0,0,1001,0,0,0,
1618050654157,1618050632905,1618052797883,1,1619195776,-1,0,0,97,0,2500,0,0,1001,0,0,0,
1618050683382,1618050654174,1618052797883,0,1619195776,-1,0,0,98,0,2500,0,0,1001,0,0,0,
1618050683383,1618050654174,1618052797883,1,1619195776,-1,0,0,98,0,2500,0,0,1001,0,0,0,
1618050709984,1618050683393,1618052797883,0,1619195776,-1,0,0,99,0,2500,0,0,1001,0,0,0,
1618050709985,1618050683393,1618052797883,1,1619195776,-1,0,0,99,0,2500,0,0,1001,0,0,0,
1618050743514,1618050710003,1618052797883,0,1619195776,-1,0,0,100,0,2500,0,0,1001,0,0,0,
1618050743515,1618050710003,1618052797883,1,1619195776,-1,0,0,100,0,2500,0,0,1001,0,0,0,
1618050771295,1618050743534,1618052797883,0,1619195776,-1,0,0,101,0,2500,0,0,1001,0,0,0,
1618050771296,1618050743534,1618052797883,1,1619195776,-1,0,0,101,0,2500,0,0,1001,0,0,0,
1618050790640,1618050771304,1618052797883,0,1619195776,-1,0,0,102,0,2500,0,0,1001,0,0,0,
1618050790641,1618050771304,1618052797883,1,1619195776,-1,0,0,102,0,2500,0,0,1001,0,0,0,
1618050810079,1618050790658,1618052797883,0,1619195776,-1,0,0,103,0,2500,0,0,1001,0,0,0,
1618050810080,1618050790658,1618052797883,1,1619195776,-1,0,0,103,0,2500,0,0,1001,0,0,0,
1618050838723,1618050810094,1618052797883,0,1619195776,-1,0,0,104,0,2500,0,0,1001,0,0,0,
1618050838724,1618050810094,1618052797883,1,1619195776,-1,0,0,104,0,2500,0,0,1001,0,0,0,
1618050861621,1618050838742,1618052797883,0,1619195776,-1,0,0,105,0,2500,0,0,1001,0,0,0,
1618050861622,1618050838742,1618052797883,1,1619195776,-1,0,0,105,0,2500,0,0,1001,0,0,0,
1618050881916,1618050861641,1618052797883,0,1619195776,-1,0,0,106,0,2500,0,0,1001,0,0,0,
1618050881917,1618050861641,1618052797883,1,1619195776,-1,0,0,106,0,2500,0,0,1001,0,0,0,
1618050915736,1618050882016,1618052797883,0,1619195776,-1,0,0,107,0,2500,0,0,1001,0,0,0,
1618050915737,1618050882016,1618052797883,1,1619195776,-1,0,0,107,0,2500,0,0,1001,0,0,0,
1618050936292,1618050915751,1618052797883,0,1619195776,-1,0,0,108,0,2500,0,0,1001,0,0,0,
1618050936293,1618050915751,1618052797883,1,1619195776,-1,0,0,108,0,2500,0,0,1001,0,0,0,
1618050953629,1618050936308,1618052797883,0,1619195776,-1,0,0,109,0,2500,0,0,1001,0,0,0,
1618050953630,1618050936308,1618052797883,1,1619195776,-1,0,0,109,0,2500,0,0,1001,0,0,0,
1619194875195,1619194713434,1618052797883,0,1619194875,169,0,0,62,0,0,0,0,0,0,0,0,
1619194875197,1619194713434,1618052797883,1,1619194875,169,0,0,62,0,0,0,0,0,0,0,0,
1619194929410,1619194875250,1618052797883,0,1619194929,169,0,0,63,0,0,0,0,0,0,0,0,
1619194929411,1619194875250,1618052797883,1,1619194929,169,0,0,63,0,0,0,0,0,0,0,0,
1619194990882,1619194929423,1618052797883,0,1619194990,169,0,0,64,0,0,0,0,0,0,0,0,
1619194990883,1619194929423,1618052797883,1,1619194990,169,0,0,64,0,0,0,0,0,0,0,0,
1619195012776,1619194990944,1618052797883,0,1619195012,169,0,0,65,0,0,0,0,0,0,0,0,
1619195012777,1619194990944,1618052797883,1,1619195012,169,0,0,65,0,0,0,0,0,0,0,0,
1619195070723,1619195012789,1618052797883,0,1619195070,169,0,0,66,0,0,0,0,0,0,0,0,
1619195070724,1619195012789,1618052797883,1,1619195070,169,0,0,66,0,0,0,0,0,0,0,0,
1619195100278,1619195070736,1618052797883,0,1619195100,169,0,0,67,0,0,0,0,0,0,0,0,
1619195100279,1619195070736,1618052797883,1,1619195100,169,0,0,67,0,0,0,0,0,0,0,0,
1619195129402,1619195100291,1618052797883,0,1619195129,169,0,0,68,0,0,0,0,0,0,0,0,
1619195129403,1619195100291,1618052797883,1,1619195129,169,0,0,68,0,0,0,0,0,0,0,0,
1619195155886,1619195129415,1618052797883,0,1619195155,169,0,0,69,0,0,0,0,0,0,0,0,
1619195155887,1619195129415,1618052797883,1,1619195155,169,0,0,69,0,0,0,0,0,0,0,0,
1619195188403,1619195155897,1618052797883,0,1619195188,169,0,0,70,0,0,0,0,0,0,0,0,
1619195188404,1619195155897,1618052797883,1,1619195188,169,0,0,70,0,0,0,0,0,0,0,0,
1619195235893,1619195188414,1618052797883,0,1619195235,169,0,0,71,0,0,0,0,0,0,0,0,
1619195235894,1619195188414,1618052797883,1,1619195235,169,0,0,71,0,0,0,0,0,0,0,0,
1619195292243,1619195235904,1618052797883,0,1619195292,169,0,0,72,0,0,0,0,0,0,0,0,
1619195292244,1619195235904,1618052797883,1,1619195292,169,0,0,72,0,0,0,0,0,0,0,0,
1619195315481,1619195292344,1618052797883,0,1619195315,169,0,0,73,0,0,0,0,0,0,0,0,
1619195315482,1619195292344,1618052797883,1,1619195315,169,0,0,73,0,0,0,0,0,0,0,0,
1619195346434,1619195315493,1618052797883,0,1619195346,169,0,0,74,0,0,0,0,0,0,0,0,
1619195346435,1619195315493,1618052797883,1,1619195346,169,0,0,74,0,0,0,0,0,0,0,0,
1619195377863,1619195346447,1618052797883,0,1619195377,169,0,0,75,0,0,0,0,0,0,0,0,
1619195377864,1619195346447,1618052797883,1,1619195377,169,0,0,75,0,0,0,0,0,0,0,0,
1619195407485,1619195377874,1618052797883,0,1619195407,169,0,0,76,0,0,0,0,0,0,0,0,
1619195407486,1619195377874,1618052797883,1,1619195407,169,0,0,76,0,0,0,0,0,0,0,0,
1619195499290,1619195407500,1618052797883,0,1619195499,169,0,0,77,0,0,0,0,0,0,0,0,
1619195499291,1619195407500,1618052797883,1,1619195499,169,0,0,77,0,0,0,0,0,0,0,0,
1619195559251,1619195499302,1618052797883,0,1619195559,169,0,0,78,0,0,0,0,0,0,0,0,
1619195559252,1619195499302,1618052797883,1,1619195559,169,0,0,78,0,0,0,0,0,0,0,0,
1619195586854,1619195559264,1618052797883,0,1619195586,169,0,0,79,0,0,0,0,0,0,0,0,
1619195586855,1619195559264,1618052797883,1,1619195586,169,0,0,79,0,0,0,0,0,0,0,0,
1619195631339,1619195586866,1618052797883,0,1619195631,169,0,0,80,0,0,0,0,0,0,0,0,
1619195631341,1619195586866,1618052797883,1,1619195631,169,0,0,80,0,0,0,0,0,0,0,0,
1619195657764,1619195631398,1618052797883,0,1619195657,169,0,0,81,0,0,0,0,0,0,0,0,
1619195657765,1619195631398,1618052797883,1,1619195657,169,0,0,81,0,0,0,0,0,0,0,0,
